Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8095110,WHS3_41,COUNTRY,MRT,AFR,YEAR,Africa,,,1989,,,,,,,137,137.0,,,,2025-07-14T16:36:19.017+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
8095770,WHS3_41,WORLDBANKINCOMEGROUP,WB_LMI,,YEAR,,,,1992,,,,,,,12 856,12856.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
8097806,WHS3_41,COUNTRY,URY,AMR,YEAR,Americas,,,1979,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
8097852,WHS3_41,COUNTRY,MSR,AMR,YEAR,Americas,,,2000,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
8098345,WHS3_41,COUNTRY,GBR,EUR,YEAR,Europe,,,1993,,,,,,,5,5.0,,,,2025-07-14T16:36:19.017+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
8099741,WHS3_41,COUNTRY,FIN,EUR,YEAR,Europe,,,1975,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
8100212,WHS3_41,COUNTRY,GUY,AMR,YEAR,Americas,,,2014,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8100592,WHS3_41,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,1978,,,,,,,69,69.0,,,,2025-07-14T16:36:19.017+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
8100951,WHS3_41,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,1991,,,,,,,26,26.0,,,,2025-07-14T16:36:19.017+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
8103199,WHS3_41,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,,,2021,,,,,,,1848,1848.0,,,,2025-07-14T16:36:19.017+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
8103537,WHS3_41,COUNTRY,WLF,WPR,YEAR,Western Pacific,,,1993,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
8104262,WHS3_41,COUNTRY,CUB,AMR,YEAR,Americas,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8105831,WHS3_41,COUNTRY,ASM,WPR,YEAR,Western Pacific,,,1987,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
8107134,WHS3_41,COUNTRY,PYF,WPR,YEAR,Western Pacific,,,1997,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
8108662,WHS3_41,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,,,2017,,,,,,,1005,1005.0,,,,2025-07-14T16:36:19.017+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
