Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
408765,WHS3_62,COUNTRY,ZWE,AFR,YEAR,Africa,,,1978,,,,,,,6081,6081.0,,,,2025-07-14T16:36:19.017+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
408964,WHS3_62,COUNTRY,KIR,WPR,YEAR,Western Pacific,,,1998,,,,,,,355,355.0,,,,2025-07-14T16:36:19.017+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
412964,WHS3_62,COUNTRY,CYM,AMR,YEAR,Americas,,,1986,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
413087,WHS3_62,COUNTRY,BDI,AFR,YEAR,Africa,,,1975,,,,,,,30 949,30949.0,,,,2025-07-14T16:36:19.017+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
413198,WHS3_62,COUNTRY,UGA,AFR,YEAR,Africa,,,1990,,,,,,,2637,2637.0,,,,2025-07-14T16:36:19.017+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
414753,WHS3_62,COUNTRY,PRY,AMR,YEAR,Americas,,,1978,,,,,,,487,487.0,,,,2025-07-14T16:36:19.017+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
415270,WHS3_62,COUNTRY,MSR,AMR,YEAR,Americas,,,1982,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
419685,WHS3_62,COUNTRY,CHE,EUR,YEAR,Europe,,,1998,,,,,,,2000,2000.0,,,,2025-07-14T16:36:19.017+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
421245,WHS3_62,COUNTRY,ZWE,AFR,YEAR,Africa,,,2001,,,,,,,529,529.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
421256,WHS3_62,COUNTRY,KHM,WPR,YEAR,Western Pacific,,,2010,,,,,,,1156,1156.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
421984,WHS3_62,COUNTRY,SWZ,AFR,YEAR,Africa,,,2003,,,,,,,350,350.0,,,,2025-07-14T16:36:19.017+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
422489,WHS3_62,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2001,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
425569,WHS3_62,COUNTRY,MDA,EUR,YEAR,Europe,,,2007,,,,,,,10,10.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
425777,WHS3_62,COUNTRY,ROU,EUR,YEAR,Europe,,,1974,,,,,,,122 470,122470.0,,,,2025-07-14T16:36:19.017+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
