Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6818771,WHS3_49,COUNTRY,TUV,YEAR,WPR,Western Pacific,,,2008,,,,,,,0,0.0,,,,2019-09-11T08:29:31+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6823529,WHS3_49,COUNTRY,SLV,YEAR,AMR,Americas,,,2010,,,,,,,0,0.0,,,,2019-09-11T08:28:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6825898,WHS3_49,COUNTRY,GRD,YEAR,AMR,Americas,,,1991,,,,,,,0,0.0,,,,2019-09-11T08:28:17+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6828163,WHS3_49,COUNTRY,KAZ,YEAR,EUR,Europe,,,2009,,,,,,,0,0.0,,,,2019-09-11T08:28:30+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6828376,WHS3_49,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,,2005,,,,,,,0,0.0,,,,2019-09-11T08:29:05+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6834757,WHS3_49,COUNTRY,GIN,YEAR,AFR,Africa,,,1980,,,,,,,32,32.0,,,,2019-09-11T08:28:19+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
6835756,WHS3_49,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,,2008,,,,,,,0,0.0,,,,2019-09-11T08:27:39+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6836659,WHS3_49,COUNTRY,ISL,YEAR,EUR,Europe,,,1991,,,,,,,0,0.0,,,,2019-09-11T08:28:22+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6838981,WHS3_49,COUNTRY,MEX,YEAR,AMR,Americas,,,1995,,,,,,,0,0.0,,,,2019-09-11T08:28:45+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
6839392,WHS3_49,COUNTRY,LAO,YEAR,WPR,Western Pacific,,,2005,,,,,,,0,0.0,,,,2019-09-11T08:28:33+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6842933,WHS3_49,COUNTRY,POL,YEAR,EUR,Europe,,,2017,,,,,,,0,0.0,,,,2019-09-11T08:29:04+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6844890,WHS3_49,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,0,0.0,,,,2019-09-11T08:28:24+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6845146,WHS3_49,COUNTRY,ETH,YEAR,AFR,Africa,,,2008,,,,,,,6,6.0,,,,2019-09-11T08:28:10+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6845984,WHS3_49,COUNTRY,MWI,YEAR,AFR,Africa,,,2005,,,,,,,0,0.0,,,,2019-09-11T08:28:39+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6846434,WHS3_49,COUNTRY,GHA,YEAR,AFR,Africa,,,2017,,,,,,,0,0.0,,,,2019-09-11T08:28:15+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6846706,WHS3_49,COUNTRY,NRU,YEAR,WPR,Western Pacific,,,1994,,,,,,,0,0.0,,,,2019-09-11T08:28:50+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6853094,WHS3_49,COUNTRY,COG,YEAR,AFR,Africa,,,2006,,,,,,,0,0.0,,,,2019-09-11T08:27:57+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6861591,WHS3_49,COUNTRY,KHM,YEAR,WPR,Western Pacific,,,1983,,,,,,,130,130.0,,,,2019-09-11T08:27:51+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
6862462,WHS3_49,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,,1986,,,,,,,416,416.0,,,,2019-09-11T08:28:07+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6865390,WHS3_49,COUNTRY,TUV,YEAR,WPR,Western Pacific,,,1996,,,,,,,0,0.0,,,,2019-09-11T08:29:31+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
6865397,WHS3_49,COUNTRY,GBR,YEAR,EUR,Europe,,,1992,,,,,,,3,3.0,,,,2019-09-11T08:29:34+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6867109,WHS3_49,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,1986,,,,,,,1844,1844.0,,,,2019-09-11T08:27:55+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
6867774,WHS3_49,COUNTRY,HUN,YEAR,EUR,Europe,,,1980,,,,,,,1,1.0,,,,2019-09-11T08:28:22+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
