Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9141760,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,MNE,EUR,YEAR,Europe,,,2022,,,,,,,6,6.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4627341,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,MNG,WPR,YEAR,Western Pacific,,,2022,,,,,,,316,316.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8095167,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2022,,,,,,,189,189.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5617075,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,GAB,AFR,YEAR,Africa,,,2022,,,,,,,1435,1435.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1432394,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,DOM,AMR,YEAR,Americas,,,2022,,,,,,,281,281.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7071999,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,KAZ,EUR,YEAR,Europe,,,2022,,,,,,,956,956.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
9483829,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,ECU,AMR,YEAR,Americas,,,2022,,,,,,,251,251.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
8760852,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,TTO,AMR,YEAR,Americas,,,2022,,,,,,,25,25.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4608370,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,TJK,EUR,YEAR,Europe,,,2022,,,,,,,541,541.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2005558,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,BRN,WPR,YEAR,Western Pacific,,,2022,,,,,,,1,1.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
