Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4398018,WHS4_117,WORLDBANKINCOMEGROUP,WB_HI,YEAR,,,,,2024,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
4398108,WHS4_117,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,,2011,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4404441,WHS4_117,COUNTRY,SGP,YEAR,WPR,Western Pacific,,,2000,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4404518,WHS4_117,COUNTRY,BEN,YEAR,AFR,Africa,,,2005,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4405002,WHS4_117,COUNTRY,DNK,YEAR,EUR,Europe,,,2006,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4405067,WHS4_117,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,,2007,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4416828,WHS4_117,COUNTRY,MDA,YEAR,EUR,Europe,,,2024,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
4417372,WHS4_117,COUNTRY,BLR,YEAR,EUR,Europe,,,2023,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4424712,WHS4_117,COUNTRY,GEO,YEAR,EUR,Europe,,,2004,,,,,,,64,64.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4436744,WHS4_117,COUNTRY,BIH,YEAR,EUR,Europe,,,2014,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4442660,WHS4_117,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,,,2006,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4450160,WHS4_117,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,2004,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4456379,WHS4_117,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,,,2013,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4456621,WHS4_117,COUNTRY,HTI,YEAR,AMR,Americas,,,2020,,,,,,,58,58.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4461835,WHS4_117,COUNTRY,ZMB,YEAR,AFR,Africa,,,2017,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
