Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
76712,WHS4_544,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2024,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
79095,WHS4_544,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,60,60.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
79175,WHS4_544,COUNTRY,NZL,WPR,YEAR,Western Pacific,,,2006,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
86385,WHS4_544,COUNTRY,LBR,AFR,YEAR,Africa,,,2020,,,,,,,67,67.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
89143,WHS4_544,COUNTRY,TZA,AFR,YEAR,Africa,,,2008,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
90216,WHS4_544,COUNTRY,MUS,AFR,YEAR,Africa,,,2009,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
92594,WHS4_544,COUNTRY,MOZ,AFR,YEAR,Africa,,,2005,,,,,,,71,71.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
92873,WHS4_544,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,2004,,,,,,,72,72.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
97020,WHS4_544,COUNTRY,DNK,EUR,YEAR,Europe,,,2016,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
97111,WHS4_544,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2008,,,,,,,69,69.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
97351,WHS4_544,COUNTRY,FSM,WPR,YEAR,Western Pacific,,,2019,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
101576,WHS4_544,COUNTRY,TGO,AFR,YEAR,Africa,,,2007,,,,,,,72,72.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
103022,WHS4_544,COUNTRY,WSM,WPR,YEAR,Western Pacific,,,2015,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
115025,WHS4_544,COUNTRY,NAM,AFR,YEAR,Africa,,,2020,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
116435,WHS4_544,COUNTRY,MWI,AFR,YEAR,Africa,,,2016,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
117021,WHS4_544,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2010,,,,,,,74,74.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
117172,WHS4_544,COUNTRY,WSM,WPR,YEAR,Western Pacific,,,2004,,,,,,,35,35.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
117844,WHS4_544,COUNTRY,MKD,EUR,YEAR,Europe,,,2018,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
118257,WHS4_544,COUNTRY,AGO,AFR,YEAR,Africa,,,2016,,,,,,,56,56.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
118280,WHS4_544,COUNTRY,GRC,EUR,YEAR,Europe,,,2017,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
124189,WHS4_544,COUNTRY,BLZ,AMR,YEAR,Americas,,,2003,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
124457,WHS4_544,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2021,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
129056,WHS4_544,COUNTRY,SMR,EUR,YEAR,Europe,,,2021,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
129091,WHS4_544,COUNTRY,ISL,EUR,YEAR,Europe,,,2023,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
131078,WHS4_544,COUNTRY,GMB,AFR,YEAR,Africa,,,2003,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
135597,WHS4_544,COUNTRY,ETH,AFR,YEAR,Africa,,,2016,,,,,,,67,67.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
