Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9390632,WHS4_100,COUNTRY,FIN,YEAR,EUR,Europe,,2001,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9391803,WHS4_100,COUNTRY,FSM,YEAR,WPR,Western Pacific,,2020,,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9394474,WHS4_100,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2013,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9397976,WHS4_100,COUNTRY,SYC,YEAR,AFR,Africa,,2003,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9402307,WHS4_100,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2002,,,,,,,,53,53.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9404833,WHS4_100,COUNTRY,COM,YEAR,AFR,Africa,,2002,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9405495,WHS4_100,COUNTRY,HRV,YEAR,EUR,Europe,,2005,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9405747,WHS4_100,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,,2000,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
9406739,WHS4_100,COUNTRY,BWA,YEAR,AFR,Africa,,2001,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9407582,WHS4_100,COUNTRY,SEN,YEAR,AFR,Africa,,2013,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9420171,WHS4_100,COUNTRY,SLE,YEAR,AFR,Africa,,2002,,,,,,,,53,53.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9421545,WHS4_100,COUNTRY,JAM,YEAR,AMR,Americas,,2001,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9425484,WHS4_100,COUNTRY,ITA,YEAR,EUR,Europe,,2013,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9426213,WHS4_100,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9427832,WHS4_100,GLOBAL,GLOBAL,YEAR,,,,2023,,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
9428764,WHS4_100,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2021,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9429193,WHS4_100,COUNTRY,UZB,YEAR,EUR,Europe,,2019,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9429426,WHS4_100,COUNTRY,USA,YEAR,AMR,Americas,,2014,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9431227,WHS4_100,COUNTRY,ESP,YEAR,EUR,Europe,,2024,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9431699,WHS4_100,COUNTRY,ETH,YEAR,AFR,Africa,,2013,,,,,,,,59,59.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9433375,WHS4_100,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2014,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9436794,WHS4_100,COUNTRY,SUR,YEAR,AMR,Americas,,2001,,,,,,,,68,68.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
9438569,WHS4_100,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2016,,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9439141,WHS4_100,COUNTRY,CHL,YEAR,AMR,Americas,,2012,,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
9439576,WHS4_100,COUNTRY,FJI,YEAR,WPR,Western Pacific,,2021,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9441950,WHS4_100,COUNTRY,CHN,YEAR,WPR,Western Pacific,,2015,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9442973,WHS4_100,COUNTRY,POL,YEAR,EUR,Europe,,2015,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
9443556,WHS4_100,COUNTRY,BLZ,YEAR,AMR,Americas,,2016,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9444165,WHS4_100,COUNTRY,CYP,YEAR,EUR,Europe,,2024,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9447605,WHS4_100,COUNTRY,ATG,YEAR,AMR,Americas,,2020,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9449449,WHS4_100,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,2005,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9449693,WHS4_100,COUNTRY,SVK,YEAR,EUR,Europe,,2004,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9451166,WHS4_100,COUNTRY,CHN,YEAR,WPR,Western Pacific,,2005,,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
9451881,WHS4_100,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2007,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9454286,WHS4_100,COUNTRY,CHE,YEAR,EUR,Europe,,2004,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9456650,WHS4_100,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,,2014,,,,,,,,46,46.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9459357,WHS4_100,COUNTRY,DNK,YEAR,EUR,Europe,,2021,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
9462469,WHS4_100,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,2024,,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9467338,WHS4_100,COUNTRY,MUS,YEAR,AFR,Africa,,2009,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9467451,WHS4_100,COUNTRY,GRC,YEAR,EUR,Europe,,2007,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9471460,WHS4_100,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2009,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
9471643,WHS4_100,COUNTRY,ECU,YEAR,AMR,Americas,,2016,,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
9477355,WHS4_100,COUNTRY,SLB,YEAR,WPR,Western Pacific,,2019,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9478046,WHS4_100,COUNTRY,BIH,YEAR,EUR,Europe,,2002,,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9480918,WHS4_100,COUNTRY,GAB,YEAR,AFR,Africa,,2017,,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9481126,WHS4_100,COUNTRY,UGA,YEAR,AFR,Africa,,2003,,,,,,,,59,59.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
9482507,WHS4_100,COUNTRY,POL,YEAR,EUR,Europe,,2007,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9483670,WHS4_100,COUNTRY,SGP,YEAR,WPR,Western Pacific,,2007,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
9484521,WHS4_100,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,2017,,,,,,,,83,83.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
9490340,WHS4_100,COUNTRY,ITA,YEAR,EUR,Europe,,2004,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9491729,WHS4_100,COUNTRY,CRI,YEAR,AMR,Americas,,2012,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
